AÑO,ID_REGION,NOMBRE_REGION,ID_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,ID_MUNICIPIO,NOMBRE_MUNICIPIO,ID_INSTITUCION,NOMBRE_INSTITUCION,ID_PROGRAMA_ACAD,NOMBRE_PROGRAMA_ACAD,promedio_global_anual,promedio_global_anterior,variacion_anual,variacion_porcentual,promedio_movil_2_anios,desviacion_historica_2_anios,crecimiento_acumulado_desde_inicio,anios_historicos_disponibles,prediccion_modelo,tiene_prediccion_test,valor_real_test,prediccion_test,residuo_test,error_absoluto_test,split_prediccion,modelo_prediccion,valor_observado_reciente,fuente_evidencia,bandera_desempeno_bajo,bandera_desempeno_alto,bandera_tendencia_descendente,bandera_tendencia_positiva,bandera_volatilidad_alta,bandera_estabilidad,bandera_error_modelo_alto,categoria_recomendacion,texto_recomendacion
2024,2.0,ANDINA,4.0,BOGOTÁ,152.0,BOGOTÁ D.C.,8990.0,FUNDACION UNIVERSITARIA SAN MARTIN,2770.0,MEDICINA,172.0,169.0,3.0,1.7751479289940828,171.5,3.5355339059327378,-2.0,2,162.39707010053226,True,172.0,162.39707010053226,9.602929899467739,9.602929899467739,test,Random Forest,172.0,test_2024_con_prediccion,False,True,False,False,True,False,True,revisar_incertidumbre_modelo,"El programa MEDICINA de FUNDACION UNIVERSITARIA SAN MARTIN en BOGOTÁ D.C., BOGOTÁ, presenta categoría 'revisar_incertidumbre_modelo'. La evidencia reciente corresponde al año 2024: PROMEDIO_GLOBAL observado=172.00. El modelo limpio predijo 162.40 en test 2024 con error absoluto=9.60. Frente al año anterior, la variación fue 3.00 puntos y el promedio móvil de 2 años previo fue 171.50. La volatilidad histórica reciente fue 3.54. Recomendación: revisar este caso antes de usar la predicción, porque el error observado del modelo fue alto frente al resto del test. Esta lectura es descriptiva y no demuestra causalidad."
2024,2.0,ANDINA,4.0,BOGOTÁ,152.0,BOGOTÁ D.C.,8990.0,FUNDACION UNIVERSITARIA SAN MARTIN,6049.0,MEDICINA,146.0,145.0,1.0,0.6896551724137931,146.0,1.4142135623730951,-2.0,4,147.1512658171218,True,146.0,147.1512658171218,-1.1512658171218106,1.1512658171218106,test,Random Forest,146.0,test_2024_con_prediccion,True,False,False,False,False,False,False,desempeno_bajo,"El programa MEDICINA de FUNDACION UNIVERSITARIA SAN MARTIN en BOGOTÁ D.C., BOGOTÁ, presenta categoría 'desempeno_bajo'. La evidencia reciente corresponde al año 2024: PROMEDIO_GLOBAL observado=146.00. El modelo limpio predijo 147.15 en test 2024 con error absoluto=1.15. Frente al año anterior, la variación fue 1.00 puntos y el promedio móvil de 2 años previo fue 146.00. La volatilidad histórica reciente fue 1.41. Recomendación: monitorear el desempeño y contrastar con factores institucionales antes de definir acciones. Esta lectura es descriptiva y no demuestra causalidad."
2024,2.0,ANDINA,4.0,BOGOTÁ,152.0,BOGOTÁ D.C.,8990.0,FUNDACION UNIVERSITARIA SAN MARTIN,6506.0,MEDICINA,147.0,145.0,2.0,1.3793103448275863,146.5,2.1213203435596424,-9.0,3,146.92809584004007,True,147.0,146.92809584004007,0.07190415995992794,0.07190415995992794,test,Random Forest,147.0,test_2024_con_prediccion,True,False,False,False,False,False,False,desempeno_bajo,"El programa MEDICINA de FUNDACION UNIVERSITARIA SAN MARTIN en BOGOTÁ D.C., BOGOTÁ, presenta categoría 'desempeno_bajo'. La evidencia reciente corresponde al año 2024: PROMEDIO_GLOBAL observado=147.00. El modelo limpio predijo 146.93 en test 2024 con error absoluto=0.07. Frente al año anterior, la variación fue 2.00 puntos y el promedio móvil de 2 años previo fue 146.50. La volatilidad histórica reciente fue 2.12. Recomendación: monitorear el desempeño y contrastar con factores institucionales antes de definir acciones. Esta lectura es descriptiva y no demuestra causalidad."
2024,2.0,ANDINA,4.0,BOGOTÁ,152.0,BOGOTÁ D.C.,8990.0,FUNDACION UNIVERSITARIA SAN MARTIN,6920.0,MEDICINA,148.0,145.0,3.0,2.0689655172413794,148.5,4.949747468305833,-4.0,2,147.42342885424807,True,148.0,147.42342885424807,0.5765711457519274,0.5765711457519274,test,Random Forest,148.0,test_2024_con_prediccion,True,False,False,False,True,False,False,desempeno_bajo,"El programa MEDICINA de FUNDACION UNIVERSITARIA SAN MARTIN en BOGOTÁ D.C., BOGOTÁ, presenta categoría 'desempeno_bajo'. La evidencia reciente corresponde al año 2024: PROMEDIO_GLOBAL observado=148.00. El modelo limpio predijo 147.42 en test 2024 con error absoluto=0.58. Frente al año anterior, la variación fue 3.00 puntos y el promedio móvil de 2 años previo fue 148.50. La volatilidad histórica reciente fue 4.95. Recomendación: monitorear el desempeño y contrastar con factores institucionales antes de definir acciones. Esta lectura es descriptiva y no demuestra causalidad."
2024,2.0,ANDINA,4.0,BOGOTÁ,152.0,BOGOTÁ D.C.,8990.0,FUNDACION UNIVERSITARIA SAN MARTIN,6922.0,MEDICINA,136.0,141.0,-5.0,-3.546099290780142,139.5,2.1213203435596424,-2.0,2,147.5747788290141,True,136.0,147.5747788290141,-11.574778829014093,11.574778829014093,test,Random Forest,136.0,test_2024_con_prediccion,True,False,True,False,False,False,True,riesgo_prioritario,"El programa MEDICINA de FUNDACION UNIVERSITARIA SAN MARTIN en BOGOTÁ D.C., BOGOTÁ, presenta categoría 'riesgo_prioritario'. La evidencia reciente corresponde al año 2024: PROMEDIO_GLOBAL observado=136.00. El modelo limpio predijo 147.57 en test 2024 con error absoluto=11.57. Frente al año anterior, la variación fue -5.00 puntos y el promedio móvil de 2 años previo fue 139.50. La volatilidad histórica reciente fue 2.12. Recomendación: priorizar revisión académica y seguimiento, porque combina bajo desempeño relativo con señal descendente reciente. Esta lectura es descriptiva y no demuestra causalidad."
2023,2.0,ANDINA,4.0,BOGOTÁ,152.0,BOGOTÁ D.C.,8990.0,FUNDACION UNIVERSITARIA SAN MARTIN,9797.0,MEDICINA,167.0,,,,,,0.0,0,158.51998506688867,False,,,,,aplicacion_ultimo_anio_no_test,Random Forest,167.0,ultimo_anio_disponible_con_prediccion_fuera_de_test,False,False,False,False,False,False,False,seguimiento_regular,"El programa MEDICINA de FUNDACION UNIVERSITARIA SAN MARTIN en BOGOTÁ D.C., BOGOTÁ, presenta categoría 'seguimiento_regular'. La evidencia reciente corresponde al año 2023: PROMEDIO_GLOBAL observado=167.00. No hay predicción de test 2024 para este programa; se muestra una predicción del modelo sobre el último año disponible (158.52), pero no se usa como error de test. No hay historial previo suficiente para calcular variación anual. No hay suficientes años previos para estimar volatilidad histórica de 2 años. Recomendación: mantener seguimiento regular; no se observan señales extremas con las reglas actuales. Esta lectura es descriptiva y no demuestra causalidad."
2023,2.0,ANDINA,4.0,BOGOTÁ,152.0,BOGOTÁ D.C.,8990.0,FUNDACION UNIVERSITARIA SAN MARTIN,20829.0,MEDICINA,141.0,,,,,,0.0,0,158.51998506688867,False,,,,,aplicacion_ultimo_anio_no_test,Random Forest,141.0,ultimo_anio_disponible_con_prediccion_fuera_de_test,True,False,False,False,False,False,False,desempeno_bajo,"El programa MEDICINA de FUNDACION UNIVERSITARIA SAN MARTIN en BOGOTÁ D.C., BOGOTÁ, presenta categoría 'desempeno_bajo'. La evidencia reciente corresponde al año 2023: PROMEDIO_GLOBAL observado=141.00. No hay predicción de test 2024 para este programa; se muestra una predicción del modelo sobre el último año disponible (158.52), pero no se usa como error de test. No hay historial previo suficiente para calcular variación anual. No hay suficientes años previos para estimar volatilidad histórica de 2 años. Recomendación: monitorear el desempeño y contrastar con factores institucionales antes de definir acciones. Esta lectura es descriptiva y no demuestra causalidad."
2024,2.0,ANDINA,4.0,BOGOTÁ,152.0,BOGOTÁ D.C.,9045.0,FUNDACION UNIVERSITARIA SANITAS,3962.0,MEDICINA,163.0,170.0,-7.0,-4.117647058823529,167.5,3.5355339059327378,-9.0,4,164.92737704762965,True,163.0,164.92737704762965,-1.9273770476296477,1.9273770476296477,test,Random Forest,163.0,test_2024_con_prediccion,False,False,True,False,True,False,False,tendencia_descendente,"El programa MEDICINA de FUNDACION UNIVERSITARIA SANITAS en BOGOTÁ D.C., BOGOTÁ, presenta categoría 'tendencia_descendente'. La evidencia reciente corresponde al año 2024: PROMEDIO_GLOBAL observado=163.00. El modelo limpio predijo 164.93 en test 2024 con error absoluto=1.93. Frente al año anterior, la variación fue -7.00 puntos y el promedio móvil de 2 años previo fue 167.50. La volatilidad histórica reciente fue 3.54. Recomendación: analizar causas posibles con evidencia externa, porque el modelo solo identifica una señal descendente, no causalidad. Esta lectura es descriptiva y no demuestra causalidad."
2024,6.0,PACÍFICA,25.0,VALLE,1010.0,CALI,9006.0,PONTIFICIA UNIVERSIDAD JAVERIANA,4976.0,MEDICINA,177.0,177.0,0.0,0.0,177.5,0.7071067811865476,-4.0,4,174.51604700678232,True,177.0,174.51604700678232,2.4839529932176845,2.4839529932176845,test,Random Forest,177.0,test_2024_con_prediccion,False,True,False,False,False,True,False,fortaleza_destacada,"El programa MEDICINA de PONTIFICIA UNIVERSIDAD JAVERIANA en CALI, VALLE, presenta categoría 'fortaleza_destacada'. La evidencia reciente corresponde al año 2024: PROMEDIO_GLOBAL observado=177.00. El modelo limpio predijo 174.52 en test 2024 con error absoluto=2.48. Frente al año anterior, la variación fue 0.00 puntos y el promedio móvil de 2 años previo fue 177.50. La volatilidad histórica reciente fue 0.71. Recomendación: documentar buenas prácticas y mantener seguimiento, porque el desempeño reciente es alto y estable o en mejora. Esta lectura es descriptiva y no demuestra causalidad."
2024,2.0,ANDINA,4.0,BOGOTÁ,152.0,BOGOTÁ D.C.,9006.0,PONTIFICIA UNIVERSIDAD JAVERIANA,7116.0,MEDICINA,199.0,198.0,1.0,0.5050505050505051,194.5,4.949747468305833,3.0,4,191.4061502998636,True,199.0,191.4061502998636,7.5938497001363885,7.5938497001363885,test,Random Forest,199.0,test_2024_con_prediccion,False,True,False,False,True,False,False,alta_volatilidad,"El programa MEDICINA de PONTIFICIA UNIVERSIDAD JAVERIANA en BOGOTÁ D.C., BOGOTÁ, presenta categoría 'alta_volatilidad'. La evidencia reciente corresponde al año 2024: PROMEDIO_GLOBAL observado=199.00. El modelo limpio predijo 191.41 en test 2024 con error absoluto=7.59. Frente al año anterior, la variación fue 1.00 puntos y el promedio móvil de 2 años previo fue 194.50. La volatilidad histórica reciente fue 4.95. Recomendación: interpretar con cautela y revisar estabilidad de cohortes, porque la variabilidad histórica reciente es alta. Esta lectura es descriptiva y no demuestra causalidad."
